phrase_number,composition_number,cadence_role_cantz,cadence_alter,cadence_final_tone,cadence_role_tenz,cadence_kind,cadence_final_tone_before,cadence_final_tone_after,cadence_kind_before,cadence_kind_after,final_cadence
"DC0502.2: Dont me doibtz contenter,",DC0502: J'ay le fruit tant désiré,S,Incomplete,G,T,Authentic,B-flat,G,Authentic,Authentic,G
"DC0502.1: J’ai le fruit desiré,",DC0502: J'ay le fruit tant désiré,S,,B-flat,T,Authentic,None,G,None,Authentic,G
DC0501.8: Quand l’esprit est du tout a moy.,DC0501: C'est a moy qu'en veult ce coqu,S,,D,T,Authentic,D,None,Authentic,None,D
"DC0501.6: Tant qu’il vouldra aupres de soy,",DC0501: C'est a moy qu'en veult ce coqu,None,,A,None,Plagal,G,A,Plagal,Plagal,D
DC0501.2: Car seule suis en ce boucage,DC0501: C'est a moy qu'en veult ce coqu,T,"Displaced, Inverted, Evaded",D,Ct,Authentic,D,G,Plagal,CAD NDLT,D
"DC0403.2: Sans estre aimé, et vivre sur attente",DC0403: Prendre plaisir en aymant loyaulment,S,,G,T,Authentic,D,D,Authentic,Authentic,G
"DC0402.6: A ma priere, et n’a nul soing de moy,",DC0402: Quand suis au lict pour prendre mon repos,None,,D,None,Plagal,C,D,Authentic,Authentic,G
"DC0401.6: Mais un debat au soir entre eulx s'esmeut,",DC0401: Monsieur l'Abbé et monsieur son vallet,S,,G,T,Authentic,D,G,Authentic,Authentic,G
"DC0401.5: L'un boit du bon, l'aultre ne boit du pire,",DC0401: Monsieur l'Abbé et monsieur son vallet,S,,D,T,Authentic,G,D,Authentic,Authentic,G
"DC0927.7: Qu'aultre que moy, vers elle trouve grace.","DC0927: Rien plus ne quiers, ma dame me contente",S,None,G,T,Authentic,C,None,Authentic,None,G
DC0927.6: Car je n'ay peur (quelque chose qu'on face),"DC0927: Rien plus ne quiers, ma dame me contente",Ct,Displaced,C,B,Authentic,C,C,Authentic,CAD NDLT,G
"DC0927.5: Et si y a un bien que vous diray,","DC0927: Rien plus ne quiers, ma dame me contente",S,None,C,T,Authentic,G,C,Authentic,Authentic,G
"DC0927.2: Content je suis du bien qu'ay rencontray,","DC0927: Rien plus ne quiers, ma dame me contente",S,None,G,T,Authentic,G,C,Authentic,Authentic,G
"DC0927.1: Rien plus ne quiers, madame me contente,","DC0927: Rien plus ne quiers, ma dame me contente",S,None,G,T,Authentic,G,G,Authentic,Authentic,G
"DC0926.8: Et veulx mourir en soustenant ce poinct,",DC0926: Ne vous faschez si me voyez jaloux,S,None,G,T,Authentic,C,None,Authentic,None,G
"DC0926.7: Qu'on puisse aymer, et des jaloux se rire,",DC0926: Ne vous faschez si me voyez jaloux,Ct,Displaced,C,T,Authentic,C,G,Authentic,Authentic,G
DC0926.5: Mais par ma foy hors de ma fantasie,DC0926: Ne vous faschez si me voyez jaloux,S,Evaded,C,T,Authentic,G,C,Authentic,Authentic,G
"DC0926.2: C'est d'amitié, que vient la jalouzie,",DC0926: Ne vous faschez si me voyez jaloux,S,,G,T,Authentic,C,C,Authentic,Authentic,G
"DC0926.1: Ne vous faschez si me voyez jaloux,",DC0926: Ne vous faschez si me voyez jaloux,S,None,C,T,Authentic,None,G,None,Authentic,G
"DC0925.8: De ce penser, que j'ay incessamment.",DC0925: C'est a grand tort qu'on dict que le penser,S,None,F,T,Authentic,F,None,CadInCad,None,F
"DC0925.7: Octroyez moy quelque joye certaine,",DC0925: C'est a grand tort qu'on dict que le penser,T,"Displaced, Inverted",C,Ct,Authentic,C,F,Plagal,CadInCad,F
"DC0925.6: Et à mon cœur perfaict contentement,",DC0925: C'est a grand tort qu'on dict que le penser,None,None,C,None,Plagal,F,C,Authentic,Authentic,F
"DC0925.5: O doulx penser, qui cause à aultruy peine,",DC0925: C'est a grand tort qu'on dict que le penser,Ct,"Displaced, Inverted, Evaded",F,S,Authentic,F,C,Authentic,Plagal,F
"DC0925.2: N'est que langueur d'une chose incertaine,",DC0925: C'est a grand tort qu'on dict que le penser,S,None,F,T,Authentic,F,F,Authentic,Authentic,F
"DC0925.1: C'est a grand tort qu'on dict que le penser,",DC0925: C'est a grand tort qu'on dict que le penser,Ct,Displaced,F,B,Authentic,None,F,None,Authentic,F
"DC0924.8: Car plus y pense, et plus y veult penser.",DC0924: Mon povre cueur qui sans aulcun repos,S,None,F,T,Authentic,F,None,Authentic,None,F
"DC0924.7: Considerant, que mon cœur le desire,",DC0924: Mon povre cueur qui sans aulcun repos,Ct,Displaced,F,B,Authentic,C,F,CadInCad,Authentic,F
"DC0924.6: Ne me veulx tu aultrement dispenser,",DC0924: Mon povre cueur qui sans aulcun repos,S,,C,T,CadInCad,F,F,Authentic,Authentic,F
"DC0924.5: O doulx amour, qui cause mon martyre,",DC0924: Mon povre cueur qui sans aulcun repos,T,"Displaced, Inverted, Evaded",F,Ct,Authentic,F,C,Authentic,CadInCad,F
"DC0924.4: Du souvenir, ou tousjours il aspire,",DC0924: Mon povre cueur qui sans aulcun repos,S,Incomplete,F,T,Authentic,F,F,Authentic,Authentic,F
"DC0924.2: Pour un penser incessamment souspire,",DC0924: Mon povre cueur qui sans aulcun repos,S,None,F,T,Authentic,F,F,Authentic,Authentic,F
"DC0924.1: Mon povre cœur, qui sans aulcun repos,",DC0924: Mon povre cueur qui sans aulcun repos,Ct,Displaced,F,B,Authentic,None,F,None,Authentic,F
DC0923.9: Si je ne la mettois à l’umbre.,"DC0923: En ce verd moys, temps opportun",S,None,F,T,Authentic,F,None,Authentic,None,F
"DC0923.6: De quel mectz mot, ny en quel nombre ","DC0923: En ce verd moys, temps opportun",T,"Displaced, Inverted, Evaded",F,Ct,Authentic,F,F,Authentic,Authentic,F
"DC0923.2: Pour prendre plaisir je vouldroye,","DC0923: En ce verd moys, temps opportun",S,None,F,T,Authentic,None,F,None,Authentic,F
DC0922.5: Ingrate alors peult estre te diras.,DC0922: O cruaulté logée en grant beaulté,S,None,F,T,Authentic,A,None,Plagal,None,F
"DC0922.4: Au moins un jour pense en ma loyaulté,",DC0922: O cruaulté logée en grant beaulté,None,None,A,None,Plagal,C,F,Authentic,Authentic,F
"DC0922.3: Quand ma douleur jamais ne sentiras,",DC0922: O cruaulté logée en grant beaulté,T,"Displaced, Inverted, Evaded",C,Ct,Authentic,F,A,Authentic,Plagal,F
"DC0922.2: O grand beaulté, qui logez cruaulté,",DC0922: O cruaulté logée en grant beaulté,S,None,F,T,Authentic,A,C,Plagal,Authentic,F
"DC0922.1: O Cruaulté logée en grand beaulté,",DC0922: O cruaulté logée en grant beaulté,None,None,A,None,Plagal,None,F,None,Authentic,F
"DC0921.3: Rendue c’est celle, qui trescontente",DC0921: Ayant servy soubs faveur de l'attente,S,None,G,T,Authentic,C,None,Authentic,None,G
"DC0921.2: Et poursuivy mon heur selon le temps,",DC0921: Ayant servy soubs faveur de l'attente,T,"Displaced, Inverted, Evaded",C,Ct,Authentic,C,G,Authentic,Authentic,G
"DC0921.1: Ayant servi soubz faveur de l’attente,",DC0921: Ayant servy soubs faveur de l'attente,S,None,C,T,Authentic,None,C,None,Authentic,G
"DC0920.7: En esperant devant que je trespasse,","DC0920: Dame excellente, en vertu bien apprise",Ct,Displaced,C,B,CAD NDLT,C,None,Authentic,None,C
"DC0920.6: Tient le mien cœur en amoureuse vie,","DC0920: Dame excellente, en vertu bien apprise",B,"Displaced, Inverted",C,T,Authentic,G,C,Authentic,CAD NDLT,C
"DC0920.5: Et ton maintien, qui tout aultre oultre passe,","DC0920: Dame excellente, en vertu bien apprise",Ct,Displaced,G,B,Authentic,G,C,Authentic,Authentic,C
"DC0920.2: Remplie d'honneur, et de parfaicte grace,","DC0920: Dame excellente, en vertu bien apprise",S,,G,T,Authentic,C,G,Authentic,Authentic,C
"DC0920.1: Dame excellente en vertu bien apprise,","DC0920: Dame excellente, en vertu bien apprise",T,Displaced,C,B,Authentic,None,G,None,Authentic,C
DC0919.7: Et moy la mienne aussi.,DC0919: Si j'estois mariée à mon amy,S,None,G,T,Authentic,D,None,Phrygian,None,G
"DC0919.6: Me disant sa pensée,",DC0919: Si j'estois mariée à mon amy,Ct,"Displaced, Evaded",D,B,Phrygian,G,G,Authentic,Authentic,G
"DC0919.5: Me tiendroit embrassée,",DC0919: Si j'estois mariée à mon amy,S,None,G,T,Authentic,G,D,Authentic,Phrygian,G
"DC0919.3: Aussi moy luy,",DC0919: Si j'estois mariée à mon amy,S,None,G,T,Authentic,G,G,Authentic,Authentic,G
"DC0919.2: Qui tant m’a desirée,",DC0919: Si j'estois mariée à mon amy,S,Evaded,G,T,Authentic,None,G,None,Authentic,G
"DC0918.7: Plus dangereux, et plus mortelz (helas)",DC0918: L'aveuglé Dieu qui partout vole nud,S,Displaced,B-flat,B,Authentic,C,None,Authentic,None,B-flat
"DC0918.6: Dont il a faict, et tendu unze laqs,",DC0918: L'aveuglé Dieu qui partout vole nud,T,"Inverted, Evaded",C,S,Authentic,G,B-flat,Authentic,Authentic,B-flat
"DC0918.5: Et en a pris la corde sans mercy,",DC0918: L'aveuglé Dieu qui partout vole nud,S,,G,T,Authentic,F,C,Authentic,Authentic,B-flat
"DC0918.2: A laissé l’arc, et les fleches aussi,",DC0918: L'aveuglé Dieu qui partout vole nud,,,A,,Plagal,F,F,Authentic,Authentic,B-flat
"DC0918.1: L’aveuglé Dieu, qui par tout vole nud,",DC0918: L'aveuglé Dieu qui partout vole nud,S,"Evaded, Doubtful",F,None,Authentic,F,A,Authentic,Plagal,B-flat
"DC0917.6: Ma grand douleur, et empire à la mort,",DC0917: Amour voyant le travail soucieux,T,"Displaced, Inverted, Evaded",D,Ct,Authentic,B-flat,None,Authentic,None,D
DC0917.5: O quel abuse c'est lors que plus s'advance,DC0917: Amour voyant le travail soucieux,S,,B-flat,T,Authentic,G,D,Authentic,Authentic,D
"DC0917.2: Que je souffrois par ta seule presence,",DC0917: Amour voyant le travail soucieux,S,None,G,T,Authentic,None,B-flat,None,Authentic,D
DC0916.12: Croist la violette.,DC0916: Au joly bocquet croist la violette,S,None,G,T,Authentic,G,None,Authentic,None,G
DC0916.9: Tira un pacquet,DC0916: Au joly bocquet croist la violette,S,None,G,T,Authentic,G,G,Plagal,Authentic,G
"DC0916.8: Belle, et joliette",DC0916: Au joly bocquet croist la violette,B,"Displaced, Inverted",A,S,Phrygian,D,G,Authentic,Authentic,G
"DC0916.7: Lors de sa malette,",DC0916: Au joly bocquet croist la violette,None,None,G,None,Plagal,D,A,Authentic,Phrygian,G
"DC0916.4: Dire à Michelette,",DC0916: Au joly bocquet croist la violette,T,"Displaced, Inverted, Evaded",D,Ct,Authentic,G,G,Authentic,Plagal,G
"DC0916.2: Croist la violette,",DC0916: Au joly bocquet croist la violette,S,None,G,T,Authentic,None,D,None,Authentic,G
DC0915.10: Ou que rigueur par toy soit adoulcie.,DC0915: Chasse rigueur loing de toy qui es belle,S,None,F,T,Authentic,C,None,Authentic,None,F
"DC0915.9: Changer ce port, et grace tant aymable,",DC0915: Chasse rigueur loing de toy qui es belle,T,"Displaced, Inverted, Evaded",C,Ct,Authentic,C,F,Authentic,Authentic,F
DC0915.8: Or fault il donc (ou que faincte on te die),DC0915: Chasse rigueur loing de toy qui es belle,T,"Displaced, Inverted",C,Ct,Authentic,C,C,Authentic,Authentic,F
"DC0915.7: A ton visage est pitié convenable,",DC0915: Chasse rigueur loing de toy qui es belle,Ct,Displaced,C,T,Authentic,C,C,Authentic,Authentic,F
"DC0915.6: C'est œil tant doulx, il te dict pitoyable,",DC0915: Chasse rigueur loing de toy qui es belle,S,None,C,T,Authentic,A,C,Phrygian,Authentic,F
"DC0915.2: Bien n'est seant avec une beaulté,",DC0915: Chasse rigueur loing de toy qui es belle,S,,A,T,Phrygian,A,A,Phrygian,Phrygian,F
"DC0915.1: Chasse rigueur loing de toy, qui es belle,",DC0915: Chasse rigueur loing de toy qui es belle,Ct,Displaced,A,B,Phrygian,None,A,None,Phrygian,F
DC0914.8: Mort me sera doulce venant de toy.,"DC0914: Las, si tu as plaisir en mon ennuy",S,None,A,T,Authentic,E,None,Plagal,None,A
"DC0914.7: (Qu'as tant aymé) prendray patienment,","DC0914: Las, si tu as plaisir en mon ennuy",None,None,E,None,Plagal,C,A,Authentic,Authentic,A
DC0914.6: Que n'ayes plus souvenance de moy,"DC0914: Las, si tu as plaisir en mon ennuy",S,None,C,T,Authentic,A,E,Authentic,Plagal,A
"DC0914.2: Et que mon mal te soit contentement,","DC0914: Las, si tu as plaisir en mon ennuy",S,None,A,T,Authentic,C,C,Authentic,Authentic,A
"DC0914.1: Las, si tu as plaisir en mon ennuy,","DC0914: Las, si tu as plaisir en mon ennuy",S,None,C,T,Authentic,None,A,None,Authentic,A
"DC0913.6: Qui à ton estre un tel bien recouvra,",DC0913: Tant plus sur toy sont arrestez mes yeulx,Ct,"Displaced, Incomplete",D,None,Authentic,B-flat,None,Authentic,None,D
"DC0913.5: Ce loz haultain, dessoubz ton nom se celle,",DC0913: Tant plus sur toy sont arrestez mes yeulx,S,None,B-flat,T,Authentic,G,D,Authentic,Authentic,D
"DC0913.2: Tans plus ta grace en beaulté renouvelle,",DC0913: Tant plus sur toy sont arrestez mes yeulx,S,None,G,T,Authentic,D,B-flat,Phrygian,Authentic,D
"DC0913.1: Tant plus sur toy sont arrestez mes yeulx,",DC0913: Tant plus sur toy sont arrestez mes yeulx,Ct,Displaced,D,B,Phrygian,None,G,None,Authentic,D
"DC0912.8: Amour, et moy.",DC0912: Amour et moy avons faict accointance,T,"Displaced, Inverted, Evaded",G,Ct,Authentic,D,None,Authentic,None,G
"DC0912.7: Et demeurons en paix, et union,",DC0912: Amour et moy avons faict accointance,S,None,D,T,Authentic,G,G,Authentic,Authentic,G
"DC0912.6: Si je voy cler, mes yeulx sont sans doubtance,",DC0912: Amour et moy avons faict accointance,S,None,G,T,Authentic,D,D,Authentic,Authentic,G
"DC0912.5: Pour parvenir à consolation,",DC0912: Amour et moy avons faict accointance,T,"Displaced, Inverted, Evaded",D,Ct,Authentic,B-flat,G,Authentic,Authentic,G
"DC0912.4: De pourchasser, et vivre en esperance,",DC0912: Amour et moy avons faict accointance,S,None,B-flat,T,Authentic,B-flat,D,Authentic,Authentic,G
DC0912.3: Et bon espoir me donne intention,DC0912: Amour et moy avons faict accointance,T,Displaced,B-flat,B,Authentic,G,B-flat,Authentic,Authentic,G
"DC0912.2: En pourchassant la mienne affection,",DC0912: Amour et moy avons faict accointance,S,None,G,T,Authentic,D,B-flat,Phrygian,Authentic,G
"DC0912.1: Amour, et moy avons faict accoinctance,",DC0912: Amour et moy avons faict accointance,Ct,Displaced,D,B,Phrygian,G,G,CadInCad,Authentic,G
"DC0911.10: Car un seul cœur, à deux servir ne peult.",DC0911: Amour du coeur vient et prend sa naissance,S,None,G,T,Authentic,D,None,Plagal,None,G
"DC0911.7: A un Amour, lequel contente, et garde,",DC0911: Amour du coeur vient et prend sa naissance,None,None,D,None,Plagal,D,G,Authentic,Authentic,G
DC0911.5: Amour avoir du cœur fruiction,DC0911: Amour du coeur vient et prend sa naissance,T,"Displaced, Inverted, Evaded",D,Ct,Authentic,G,D,Authentic,Plagal,G
"DC0911.2: Et au cœur fait son habitation,",DC0911: Amour du coeur vient et prend sa naissance,T,"Displaced, Inverted, Evaded",D,Ct,Authentic,None,G,None,Authentic,G
DC0910.10: Le vostre n'est pas assez chault.,"DC0910: Mais dont vient que vous, damoyselles",S,None,G,T,Authentic,B-flat,None,Plagal,None,G
"DC0910.9: Son feu surmonte la froidure,","DC0910: Mais dont vient que vous, damoyselles",None,None,B-flat,None,Plagal,D,G,Phrygian,Authentic,G
"DC0910.8: Et pourquoy, dire le vous fault,","DC0910: Mais dont vient que vous, damoyselles",B,"Displaced, Inverted",D,Ct,Phrygian,B-flat,B-flat,Authentic,Plagal,G
"DC0910.7: Tout aussi beau, qu'une paincture,","DC0910: Mais dont vient que vous, damoyselles",T,Displaced,B-flat,B,Authentic,B-flat,D,Authentic,Phrygian,G
"DC0910.6: Le sien contre le froid, et dure","DC0910: Mais dont vient que vous, damoyselles",S,None,B-flat,T,Authentic,D,B-flat,Authentic,Authentic,G
DC0910.5: Voyez m'amye a defendu,"DC0910: Mais dont vient que vous, damoyselles",S,None,D,T,Authentic,G,B-flat,Authentic,Authentic,G
"DC0910.2: Avez si tost tout morfondu,","DC0910: Mais dont vient que vous, damoyselles",S,None,G,T,Authentic,D,D,Plagal,Authentic,G
"DC0910.1: Mais dont vient, que vous damoyselles?","DC0910: Mais dont vient que vous, damoyselles",None,None,D,None,Plagal,None,D,None,Plagal,G
"DC0909.8: Qu'en despit d'elle vit, ce qu'est contraire.",DC0909: Si Salamandre en flamme vit c'est peu,S,None,D,T,Authentic,D,None,CadInCad,None,D
"DC0909.7: Amour le faict de nature adversaire,",DC0909: Si Salamandre en flamme vit c'est peu,T,"Displaced, Inverted, Evaded",D,Ct,CadInCad,A,D,CadInCad,Authentic,D
"DC0909.6: Fondre debvroit, et si devient plus dure ",DC0909: Si Salamandre en flamme vit c'est peu,S,None,A,T,CadInCad,A,D,Authentic,CadInCad,D
DC0909.5: Qui la defend en un si ardant lieu?,DC0909: Si Salamandre en flamme vit c'est peu,None,None,A,None,Plagal,D,A,Authentic,Plagal,D
"DC0909.2: Merveilles n'ay des œuvres de nature,",DC0909: Si Salamandre en flamme vit c'est peu,S,None,D,T,Authentic,A,A,Authentic,Plagal,D
"DC0909.1: Si Salamandre en flamme vit, c'est peu,",DC0909: Si Salamandre en flamme vit c'est peu,B,"Displaced, Inverted",A,Ct,Authentic,None,D,None,Authentic,D
"DC0908.3: Tant ay de peur, et sur moy peult envie,","DC0908: Las, si amour nouveau conseil n'apporte",Ct,Displaced,B-flat,B,Authentic,D,None,Authentic,None,B-flat
"DC0908.2: En brief seray contrainct changer ma vie,","DC0908: Las, si amour nouveau conseil n'apporte",S,Incomplete,D,T,Authentic,G,B-flat,Authentic,Authentic,B-flat
"DC0908.1: Las, si Amour nouveau conseil n’apporte,","DC0908: Las, si amour nouveau conseil n'apporte",S,None,G,T,Authentic,None,D,None,Authentic,B-flat
"DC0907.6: De vostre cœur, que n'en sçay la pensée ",DC0907: Je suis honteux et n'ose descouvrir,Ct,Displaced,D,B,Phrygian,D,None,Authentic,None,D
DC0907.5: Je luy diray dame trop il m'ennuye,DC0907: Je suis honteux et n'ose descouvrir,S,None,D,T,Authentic,G,D,Authentic,Authentic,D
"DC0907.2: La bonne amour, que j'ay envers m'amye,",DC0907: Je suis honteux et n'ose descouvrir,S,None,G,T,Authentic,None,G,None,Authentic,D
"DC0906.8: Mais ne sentoit rose, ny marjoulaine,",DC0906: A ce matin d'un beau bouquet de rose,T,"Displaced, Inverted, Evaded",D,Ct,Authentic,D,None,Authentic,None,D
DC0906.7: Bien je le voy de belles fleurs orné,DC0906: A ce matin d'un beau bouquet de rose,S,None,D,T,Authentic,B-flat,D,Authentic,Authentic,D
"DC0906.6: Prendre l'odeur, de ce bouquet donné,",DC0906: A ce matin d'un beau bouquet de rose,S,None,B-flat,T,Authentic,G,D,Authentic,Authentic,D
DC0906.5: Que tost apres le departir pensant,DC0906: A ce matin d'un beau bouquet de rose,,,A,,Plagal,G,G,Authentic,Authentic,D
"DC0906.2: Celle qui a mon cœur m'a faict present,",DC0906: A ce matin d'un beau bouquet de rose,S,None,G,T,Authentic,D,A,Authentic,Plagal,D
"DC0906.1: A ce matin d'un beau bouquet de rose,",DC0906: A ce matin d'un beau bouquet de rose,T,Displaced,D,B,Authentic,D,G,CadInCad,Authentic,D
DC0905.6: A votre guise.,DC0905: Je ne suis pas si sot berger,S,None,G,T,Authentic,B-flat,G,Authentic,Authentic,G
"DC0905.4: Cotte, et chemise,",DC0905: Je ne suis pas si sot berger,S,None,B-flat,T,CadInCad,G,B-flat,Authentic,Authentic,G
"DC0905.2: Si vous tenois à mon coucher,",DC0905: Je ne suis pas si sot berger,S,None,G,T,Authentic,G,B-flat,Authentic,CadInCad,G
"DC0905.1: Je ne suis pas si sot berger,",DC0905: Je ne suis pas si sot berger,S,None,G,T,Authentic,G,G,Authentic,Authentic,G
"DC0904.8: Que tant plus froide elle est, plus croist ma flamme.",DC0904: Si je cuidois (pour gemir et complaindre),S,None,G,T,Authentic,D,None,Authentic,None,G
"DC0904.7: O cas estrange, et de compassion,",DC0904: Si je cuidois (pour gemir et complaindre),Ct,Displaced,D,B,Phrygian,B-flat,D,Authentic,Authentic,G
DC0904.6: Tant plus la prie (à m'aymer) moins s'enflamme,DC0904: Si je cuidois (pour gemir et complaindre),S,None,B-flat,T,Authentic,D,D,Authentic,Phrygian,G
"DC0904.5: Tant plus je plains, plus croist ma passion ",DC0904: Si je cuidois (pour gemir et complaindre),S,None,D,T,Authentic,G,D,Authentic,Authentic,G
"DC0904.2: Faire eschauffer sa froide affection,",DC0904: Si je cuidois (pour gemir et complaindre),S,None,G,T,Authentic,D,D,CadInCad,Authentic,G
"DC0904.1: Si je cuidois (pour gemir, et complaindre)",DC0904: Si je cuidois (pour gemir et complaindre),T,"Displaced, Inverted, Incomplete, Evaded",D,B,CadInCad,D,G,Authentic,Authentic,G
"DC0903.6: A deux amantz, que ce fascheux adieu?",DC0903: Si l'amyitié n'est que conjonction,B,"Displaced, Inverted",A,Ct,Phrygian,D,None,CadInCad,None,A
"DC0903.5: Las y a il, qui plus estrange semble",DC0903: Si l'amyitié n'est que conjonction,T,"Displaced, Incomplete, Evaded",D,Ct,CadInCad,D,A,Authentic,Phrygian,A
"DC0903.2: De deux moytiez, qui se suivent ensemble,",DC0903: Si l'amyitié n'est que conjonction,S,,D,T,Authentic,A,D,Authentic,Authentic,A
DC0903.1: Si l'amytié n'est que conjonction,DC0903: Si l'amyitié n'est que conjonction,S,None,A,T,Authentic,A,D,Authentic,Authentic,A
DC0902.4: Que point nostre amour changera.,DC0902: Faisons le dire mensonger,S,None,D,T,Authentic,F,D,Authentic,Authentic,D
"DC0902.3: Montrant par l'effect qu'on voirra,",DC0902: Faisons le dire mensonger,S,Evaded,F,T,Authentic,A,D,Authentic,Authentic,D
"DC0902.2: Que tout soubz le ciel doibt changer,",DC0902: Faisons le dire mensonger,S,Displaced,A,Ct,Authentic,A,F,Authentic,Authentic,D
"DC0902.1: Faisons le dire mensonger,",DC0902: Faisons le dire mensonger,S,Displaced,A,Ct,Authentic,None,A,None,Authentic,D
"DC0901.8: A mon amy, qui m'ayme si tresfort,",DC0901: Je ne cognois femme en ceste contrée,S,,E,T,Phrygian,A,None,Phrygian,None,E
DC0901.7: Mais je ne puis sans vouloir contredire,DC0901: Je ne cognois femme en ceste contrée,S,"Evaded, Doubtful",F,T,Authentic,A,A,Phrygian,Phrygian,E
DC0901.6: Garder les gens de notre amour mesdire,DC0901: Je ne cognois femme en ceste contrée,T,Displaced,A,B,Phrygian,A,F,Authentic,Authentic,E
"DC0901.5: Bien je vouldrois avoir l'invention,",DC0901: Je ne cognois femme en ceste contrée,S,None,A,T,Authentic,D,A,Authentic,Authentic,E
"DC0901.2: Que comme moy ayt tant de passion,",DC0901: Je ne cognois femme en ceste contrée,S,None,D,T,Authentic,None,A,None,Authentic,E
DC0525.7: Par nostre dame il fault argent.,DC0525: Recepte pour un flux de bourse,None,None,G,None,Plagal,G,None,Authentic,None,C
"DC0525.6: D’habiter la belle au corps gent,",DC0525: Recepte pour un flux de bourse,T,"Inverted, Evaded",C,S,CadInCad,C,G,Authentic,Authentic,C
DC0525.4: Car en dormant rien ne vous nuit:,DC0525: Recepte pour un flux de bourse,S,Displaced,C,Ct,Authentic,C,C,Authentic,Authentic,C
"DC0524.8: Car tel amour n’est jamais imperfaict,",DC0524: Tels menus plaidz conferment les amours,T,Displaced,C,B,Authentic,C,C,Authentic,Plagal,G
"DC0524.7: S’aiment tousjours sans guerre, et sans picque,",DC0524: Tels menus plaidz conferment les amours,T,Displaced,C,B,Authentic,C,C,Authentic,Plagal,G
"DC0524.5: Mais vrais amans, qui ont leurs cœurs conjoinctz",DC0524: Tels menus plaidz conferment les amours,T,Displaced,C,B,Authentic,G,C,Authentic,Authentic,G
DC0524.2: De ceulx qui sont de fol plaisir attaintz.,DC0524: Tels menus plaidz conferment les amours,S,None,G,T,Authentic,C,G,Authentic,Authentic,G
"DC0522.8: Pour forger le fort Hercules,",DC0522: Qui diable nous a faict ces jours,T,"Displaced, Inverted, Evaded",C,Ct,Authentic,C,E,Authentic,Plagal,G
"DC0522.4: Et semble qui soient envieux,",DC0522: Qui diable nous a faict ces jours,Ct,,E,B,Phrygian,C,E,Plagal,Phrygian,G
"DC0521.9: Or bien, dict elle je m’en vois donc estendre,",DC0521: Jehan se jouant un jour avec Jehannette,,,C,,Plagal,G,C,Authentic,Authentic,C
"DC0521.3: Helas dict elle je suis par trop jeunette,",DC0521: Jehan se jouant un jour avec Jehannette,S,,C,T,Authentic,E,C,Plagal,Plagal,C
"DC0520.9: Tout beau paix la laissez moy dire,",DC0520: Quelque yvrongne de par le monde,T,Displaced,C,B,Authentic,G,C,Authentic,CadInCad,C
"DC0519.5: pour toy, suis en peine immortelle,","DC0519: Si je te voy, qui est ce que desire",None,None,C,None,Plagal,C,C,Authentic,Authentic,C
"DC0519.2: Plus fort je sentz que ma flamme estincelle,","DC0519: Si je te voy, qui est ce que desire",T,"Displaced, Inverted",C,B,Authentic,E,C,Plagal,Authentic,C
"DC0517.8: Pour eviter de terre la froidure,",DC0517: Un jour dormoit Colin en my des prez,Ct,Displaced,F,B,CAD NDLT,C,F,Authentic,CAD NDLT,F
"DC0517.2: En pleine terre, et Janeton s’amie",DC0517: Un jour dormoit Colin en my des prez,Ct,Displaced,F,B,CAD NDLT,None,F,None,Authentic,F
DC0517.1: Un jour dormoit Colin en my des prez,DC0517: Un jour dormoit Colin en my des prez,Ct,Displaced,F,B,CAD NDLT,None,F,None,Authentic,F
"DC0516.5: Sainctz innocentz plains de devotion,",DC0516: Il est permis trouver au lict s'amie,B,"Displaced, Inverted",C,Ct,Authentic,C,G,Authentic,Authentic,F
"DC0515.9: On y verroit, ou on n’auroit point d’yeulx,",DC0515: Où cerchez-vous du dieu d'amour l'empire,T,"Displaced, Inverted, Evaded",F,Ct,CadInCad,F,F,Authentic,Authentic,F
"DC0515.8: Et qui viendroit le fendre par moytié,",DC0515: Où cerchez-vous du dieu d'amour l'empire,S,None,F,T,Authentic,D,F,Plagal,CadInCad,F
DC0514.5: Car j’ay espoir que bien tost accompli,DC0514: Puisque tu veulx mettre fin à ta plaincte,Ct,Displaced,E,B,Phrygian,A,A,Authentic,Authentic,E
DC0513.7: Car j’aime mieulx nostre amitié finie,DC0513: Je ne veulx plus de mon malheur me plaindre,T,"Displaced, Inverted, Evaded",C,Ct,Authentic,A,E,Authentic,Phrygian,E
DC0512.8: Cela seul si me rend content.,DC0512: Quand je voy ma mignonne rire,S,None,G,T,Authentic,D,None,Authentic,None,D
"DC0512.7: Or sus donc mectz toy a ton aise,",DC0512: Quand je voy ma mignonne rire,S,Evaded,D,T,Authentic,A,G,Plagal,Authentic,D
"DC0512.6: Ce pauvre cœur, qui se deult tant,",DC0512: Quand je voy ma mignonne rire,Ct,"Displaced, Evaded",E,T,Authentic,D,A,Authentic,Plagal,D
DC0512.5: On ha beau faire s’il s’appaise,DC0512: Quand je voy ma mignonne rire,B,"Displaced, Inverted",D,Ct,Authentic,D,E,Authentic,Authentic,D
"DC0512.4: Rien ne puis voir lors qui me plaise,",DC0512: Quand je voy ma mignonne rire,B,"Displaced, Inverted",D,T,Authentic,G,D,Plagal,Authentic,D
"DC0512.3: Mais quand je voy qu’elle souspire,",DC0512: Quand je voy ma mignonne rire,,,G,,Plagal,D,D,Authentic,Authentic,D
