phrase_number,composition_number,cadence_role_cantz,cadence_alter,cadence_final_tone,cadence_role_tenz,cadence_kind,cadence_final_tone_before,cadence_final_tone_after,cadence_kind_before,cadence_kind_after,final_cadence
"DC0710.7: Le soleil cache sa lueur,",DC0710: Quelqu'un me disoit l'aultre jour,None,,G,None,Plagal,D,G,Plagal,Plagal,G
"DC0710.2: Que ce moys est melancolique,",DC0710: Quelqu'un me disoit l'aultre jour,None,,D,None,Plagal,D,G,CadInCad,Plagal,G
"DC0710.1: Quelqu'un me disoit l'aultre jour,",DC0710: Quelqu'un me disoit l'aultre jour,S,,D,T,CadInCad,None,D,None,Plagal,G
DC0708.10: Mais pour moy seul guarir est faicte.,DC0708: Qui la vous faict tant regarder,S,,G,T,Authentic,D,None,Phrygian,None,G
DC0708.9: Qui pour tous navrer est pourveue:,DC0708: Qui la vous faict tant regarder,Ct,Displaced,D,B,Phrygian,D,G,Phrygian,Authentic,G
"DC0708.8: Que femme comme elle perfaicte,",DC0708: Qui la vous faict tant regarder,Ct,Displaced,D,B,Phrygian,B-flat,D,Authentic,Phrygian,G
"DC0708.7: Le povre passant de sa veue,",DC0708: Qui la vous faict tant regarder,T,"Displaced, Inverted, Evaded",B-flat,Ct,Authentic,D,B-flat,Authentic,Authentic,G
"DC0708.6: Rencontrer ce serpent qui tue,",DC0708: Qui la vous faict tant regarder,B,"Displaced, Inverted",D,Ct,Authentic,A,B-flat,Phrygian,Authentic,G
"DC0708.5: Aultant vous vauldroit semidieux,",DC0708: Qui la vous faict tant regarder,B,"Displaced, Inverted",A,S,Phrygian,G,D,Authentic,Phrygian,G
"DC0708.2: De mon bien povres envieux,",DC0708: Qui la vous faict tant regarder,S,,G,T,Authentic,B-flat,A,Authentic,Phrygian,G
"DC0708.1: Qui la vous faict tant regarder,",DC0708: Qui la vous faict tant regarder,B,"Displaced, Inverted, Evaded",D,Ct,Authentic,D,B-flat,Phrygian,Authentic,G
"DC0713.8: S'il me desplaist, quand un aultre te baise.","DC0713: Las, si tu veulx en aultre part aymer",S,,G,T,Authentic,D,None,Phrygian,None,G
"DC0713.7: Qu'il ne te fault point trouver ennuyeux,","DC0713: Las, si tu veulx en aultre part aymer",Ct,Displaced,D,B,Phrygian,B-flat,G,Authentic,Authentic,G
"DC0713.6: Et à baiser elle donne tant d'aise,","DC0713: Las, si tu veulx en aultre part aymer",S,,B-flat,T,Authentic,D,D,Phrygian,Phrygian,G
"DC0713.5: Plus rouge elle est que courail precieux,","DC0713: Las, si tu veulx en aultre part aymer",B,"Displaced, Inverted",D,Ct,Phrygian,G,B-flat,Authentic,Authentic,G
"DC0713.2: Ne tourne plus devers moy tes beaulx yeulx,","DC0713: Las, si tu veulx en aultre part aymer",S,,G,T,Authentic,B-flat,D,Authentic,Phrygian,G
"DC0713.1: Las si tu veulx en aultre part aymer,","DC0713: Las, si tu veulx en aultre part aymer",S,,B-flat,T,Authentic,None,G,None,Authentic,G
DC0723.8: A le compter a plus de joye.,DC0723: Avant que partiez de ce lieu,S,,F,T,Authentic,F,None,Authentic,None,F
DC0723.7: Alors j'aye plus à vous dire,DC0723: Avant que partiez de ce lieu,T,Inverted,C,S,Authentic,A,F,Phrygian,Authentic,F
"DC0723.6: Affin que mais que je vous voye,",DC0723: Avant que partiez de ce lieu,S,,A,T,Phrygian,C,C,Authentic,Authentic,F
"DC0723.5: Et vous veulx contre lettre escripre,",DC0723: Avant que partiez de ce lieu,T,Incomplete,C,S,Authentic,A,A,Plagal,Phrygian,F
"DC0723.2: Amye que tant je desire,",DC0723: Avant que partiez de ce lieu,None,,A,None,Plagal,F,C,Authentic,Authentic,F
"DC0723.1: Avant que partiez de ce lieu,",DC0723: Avant que partiez de ce lieu,T,Displaced,F,B,Authentic,None,A,None,Plagal,F
DC0726.10: Car umbre au souleil me feras.,DC0726: Robin couché à mesme terre,S,,C,T,Authentic,C,None,Authentic,None,C
"DC0726.9: Et tu seras en lieu de tente,",DC0726: Robin couché à mesme terre,Ct,Displaced,C,T,Authentic,C,C,Plagal,Authentic,C
"DC0726.6: Luy disant en face riante,",DC0726: Robin couché à mesme terre,None,,C,None,Plagal,C,C,Authentic,Authentic,C
"DC0726.2: Dessus l'herbette pres s'amye,",DC0726: Robin couché à mesme terre,S,,C,T,Authentic,F,C,Authentic,Plagal,C
"DC0726.1: Robin couché à mesme terre,",DC0726: Robin couché à mesme terre,S,,F,T,Authentic,None,C,None,Authentic,C
DC0722.8: C'est une vraye mocquerie.,DC0722: Si la roze croist sans l'espine,S,,F,T,Authentic,C,None,Authentic,None,F
"DC0722.7: N'est-ce pas contre droict divin,",DC0722: Si la roze croist sans l'espine,B,"Displaced, Inverted, Evaded",C,Ct,Authentic,C,F,Authentic,Authentic,F
"DC0722.6: Soubz umbre qui a fascherie,",DC0722: Si la roze croist sans l'espine,S,Displaced,C,Ct,Authentic,C,C,Plagal,Authentic,F
"DC0722.5: Et donc à l'amour donner fin,",DC0722: Si la roze croist sans l'espine,None,,C,None,Plagal,F,C,Authentic,Authentic,F
DC0722.4: Ton propos de raison est plain:,DC0722: Si la roze croist sans l'espine,T,"Displaced, Inverted, Evaded",F,Ct,Authentic,F,C,Authentic,Plagal,F
"DC0722.2: Si sans le labeur vient le pain,",DC0722: Si la roze croist sans l'espine,S,,F,T,Authentic,C,F,Authentic,Authentic,F
"DC0722.1: Si la roze croist sans l'espine,",DC0722: Si la roze croist sans l'espine,T,"Displaced, Inverted, Evaded",C,Ct,Authentic,None,F,None,Authentic,F
DC0724.8: Elle sur tous sçait que vault bien aymer.,"DC0724: Qu'est-ce qu'amour, l'un dit que c'est un dieu",S,,F,T,Authentic,C,None,Authentic,None,F
DC0724.7: Demander fault qu'il en semble à m'amye,"DC0724: Qu'est-ce qu'amour, l'un dit que c'est un dieu",T,Displaced,F,B,Authentic,C,C,Authentic,Authentic,F
"DC0724.6: Et si il est aux siens doulx, ou amer,","DC0724: Qu'est-ce qu'amour, l'un dit que c'est un dieu",Ct,Displaced,C,T,Authentic,A,C,Phrygian,Authentic,F
"DC0724.5: Mais veulx tu bien sçavoir comment il lye,","DC0724: Qu'est-ce qu'amour, l'un dit que c'est un dieu",S,,A,T,Phrygian,F,C,Authentic,Authentic,F
DC0724.2: L'aultre au contraire amour quoy que l'on die:,"DC0724: Qu'est-ce qu'amour, l'un dit que c'est un dieu",S,,F,T,Authentic,F,A,Authentic,Phrygian,F
"DC0724.1: Qu'est ce qu'amour, l'un dict que c'est un Dieu,","DC0724: Qu'est-ce qu'amour, l'un dit que c'est un dieu",Ct,Displaced,F,B,Authentic,None,F,None,Authentic,F
"DC0718.8: Ne plus ne moins, comme quand le verd dure.",DC0718: Petit jardin a Vénus consacré,S,,G,T,Authentic,B-flat,None,Authentic,None,G
